
<span>prata: </span>a 
<span>prata: </span>a 
<span>prata: </span>a 
<span>prata: </span>a 
<span>prata: </span>a 
<span>prata: </span>aaaaaaaaa 
<span>prata: </span>asd 
<span>prata: </span>dasdasd 
<span>prata: </span>asd 
<span><b>0prata: </b></span>a 
<span><b>0prata: </b></span>aaa 
<span><b>0prata: </b></span>aa 
<span><b>0prata: </b></span>a 
<span><b>0prata: </b></span>a 
<span><b>0prata: </b></span>a 
<span><b>null: : </b></span>prata 
<span><b>null: : </b></span>a 
<span><b>null: : </b></span>a a
<span><b>null: : </b></span>a 
<span><b>Prata: </b></span>prata 
<span><b>Prata: </b></span>a 
<span><b>Prata: </b></span>a a
<span><b>Prata: </b></span> a
<span><b>Prata: </b></span>a 
<span><b>Prata: </b></span>a 
<span><b>Prata: </b></span>a a
<span><b>Prata: </b></span>a 
<span><b>Prata: </b></span>a 
<span style='color: ;'><b>: </b></span>aa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br>a a
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br> a
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br>qqqqqqqq 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br>q 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br>qqqqq 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br>q q
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(, 0, 0)'>aaaaaaa: </b><br>q 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aaaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aaaaaaaaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(245, 0, 0)'>PC: </b><br>
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(245, 0, 0)'>PC: </b><br>aa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(245, 0, 0)'>PC: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(245, 0, 0)'>PC: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b>aaaaaaa: </b><br>aa a
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b>aaaaaaa: </b><br>aa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b>aaaaaaa: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b>aaaaaaa: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b>aaaaaaa: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b>aaaaaaa: </b><br>aa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b>aaaaaaa: </b><br>a a
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>a a
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>a a
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aaaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aaaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(57, 192, 237,.2);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(219, 0, 0, 0.5);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(219, 0, 0, 0.3);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(219, 0, 0, 0.3);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(219, 0, 0, 0.3);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(219, 0, 0, 0.3);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(219, 0, 0, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>aa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(219, 0, 0, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(219, 0, 0, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(219, 0, 0, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(219, 0, 0)'>aaaaaaa: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>assdfsdsdfdf 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>aaaaaaaaaaaaaaaaaaaaaaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 42, 255, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 42, 255)'>PC: </b><br>bbbbbbbbbb 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>aa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>aaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>aa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>aaaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>aaaaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>: </b><br>a 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>aaaaaaaaaaaaaaaaaaaaaaa 
<div class='p-3 ms-3' style='border-radius: 15px; background-color: rgba(0, 255, 30, 0.1);'><p class='small mb-0'><div id='chat-wrap'><b style='color: rgb(0, 255, 30)'>Notebook: </b><br>aaa 
